* ******************************************************************************

* iCEcube Pin Table

* Version:            2017.08.27940

* Build Date:         Sep 11 2017 16:52:36

* File Generated:     Mar 8 2019 19:59:12

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40UP5K
Package, SG48

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, Pullup resistor, Weak Pull Up, IO Function, IO Bank, Drive Strength 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, VCCIO_2, not used, , , , , , bottomBank, 
2, PIO, not used, , , , , , bottomBank, 
3, PIO, not used, , , , , , bottomBank, 
4, PIO, not used, , , , , , bottomBank, 
5, VCC, not used, , , , , , UnknownBank, 
6, PIO, not used, , , , , , bottomBank, 
7, CDONE, not used, , , , , , bottomBank, 
8, CRESET_B, not used, , , , , , bottomBank, 
9, PIO, not used, , , , , , bottomBank, 
10, PIO, not used, , , , , , bottomBank, 
11, PIO, not used, , , , , , bottomBank, 
12, PIO, led, Output, , SB_LVCMOS, No Pull Up, , , Simple Output, bottomBank, x1
13, PIO, not used, , , , , , bottomBank, 
14, SPI_SO, not used, , , , , , bottomBank, 
15, SPI_SCK, not used, , , , , , bottomBank, 
16, SPI_SS_B, debug, Output, , SB_LVCMOS, No Pull Up, , , Output Tristatable by Enable, bottomBank, x1
17, SPI_SI, not used, , , , , , bottomBank, 
18, PIO, not used, , , , , , bottomBank, 
19, PIO, not used, , , , , , bottomBank, 
20, PIO_GBIN, not used, , , , , , bottomBank, 
21, PIO, not used, , , , , , bottomBank, 
22, VDDIO_SPI, not used, , , , , , bottomBank, 
23, PIO_I3C, s1, Input, , SB_LVCMOS, No Pull Up, , , Input Registered, topBank, x1
24, VPP, not used, , , , , , topBank, 
25, PIO_I3C, sdin, Input, , SB_LVCMOS, No Pull Up, , , Simple Input, topBank, x1
26, PIO, not used, , , , , , topBank, 
27, PIO, not used, , , , , , topBank, 
28, PIO, not used, , , , , , topBank, 
29, AVDD_TOP, not used, , , , , , UnknownBank, 
30, VCC, not used, , , , , , UnknownBank, 
31, PIO, source_data_rdy, Output, , SB_LVCMOS, No Pull Up, , , Simple Output, topBank, x1
32, PIO, not used, , , , , , topBank, 
33, VCCIO_0, not used, , , , , , topBank, 
34, PIO, ppm_output, Output, , SB_LVCMOS, No Pull Up, , , Simple Output, topBank, x1
35, PIO_GBIN, clk_system, Input, glb Buff, SB_LVCMOS, No Pull Up, , , Simple Input, topBank, x1
36, PIO, source_data[0], Output, , SB_LVCMOS, No Pull Up, , , Simple Output, topBank, x1
37, PIO_GBIN, data_debug, Output, , SB_LVCMOS, No Pull Up, , , Simple Output, topBank, x1
38, PIO, source_data[2], Output, , SB_LVCMOS, No Pull Up, , , Simple Output, topBank, x1
39, PIO_RGB, not used, , , , , , topBank, 
40, PIO_RGB, not used, , , , , , topBank, 
41, PIO_RGB, not used, , , , , , topBank, 
42, PIO, source_data[1], Output, , SB_LVCMOS, No Pull Up, , , Simple Output, topBank, x1
43, PIO, reset_system, Input, , SB_LVCMOS, No Pull Up, , , Simple Input, topBank, x1
44, PIO_GBIN, not used, , , , , , bottomBank, 
45, PIO, not used, , , , , , bottomBank, 
46, PIO, not used, , , , , , bottomBank, 
47, PIO, not used, , , , , , bottomBank, 
48, PIO, not used, , , , , , bottomBank, 
Total Number of Used Pins, 12
