@W: CL169 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\dff_v_ncycle.v":44:0:44:5|Pruning unused register i[31:0]. Make sure that there are no unused intermediate registers.
@W: CG360 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\pid_altitude.v":55:19:55:35|Removing wire error_i_prescaled, as there is no assignment to it.
@W: CG360 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\pid_altitude.v":56:19:56:25|Removing wire error_i, as there is no assignment to it.
@W: CL279 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\pid_altitude.v":89:0:89:5|Pruning register bits 31 to 14 of error_i_acumm[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL260 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\pid_altitude.v":89:0:89:5|Pruning register bit 14 of source_pid[14:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL279 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\pid_altitude.v":89:0:89:5|Pruning register bits 31 to 21 of error_i_reg[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\pid_altitude.v":89:0:89:5|Pruning register bits 31 to 21 of error_p_reg[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\pid_altitude.v":89:0:89:5|Pruning register bits 31 to 23 of pid_prereg[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\pid_altitude.v":89:0:89:5|Pruning register bits 31 to 22 of error_i_acumm_prereg[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\frame_dron_decoder.v":61:0:61:5|Pruning register bits 31 to 16 of WDT[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\scaler.v":46:0:46:5|Pruning register bits 3 to 0 of source_data[14:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\frame_decoder.v":75:0:75:5|Pruning register bits 31 to 3 of count[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\frame_decoder.v":75:0:75:5|Pruning register bits 31 to 16 of WDT[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\Users\Eloy\Desktop\TFG\Repo\kibotics-drones4kids\TFG_Eloy\SP\SP17\PI3\Pc2Drone\uart_rx.v":98:0:98:5|Pruning register bits 31 to 5 of timer_Count[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.

